phoneme,stops,nasals,fricatives,liquids,labials,dentals,palatals
ʉ,0,0,0,0,0,0,0
p,1,0,0,0,1,0,0
ø,0,0,0,0,0,0,0
ʊ,0,0,0,0,0,0,0
t,1,0,0,0,0,1,0
u,0,0,0,0,0,0,0
ɳ,0,0,0,0,0,0,0
ɡ,0,0,0,0,0,0,0
v,0,0,1,0,1,0,0
ŋ,0,0,0,0,0,0,0
ɛ,0,0,0,0,0,0,0
ʂ,0,0,0,0,0,0,0
r,0,0,0,1,0,1,0
y,0,0,0,0,0,0,0
d,1,0,0,0,0,1,0
ɔ,0,0,0,0,0,0,0
ʦ,0,0,0,0,0,0,0
œ,0,0,0,0,0,0,0
ʏ,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0
f,0,0,1,0,1,0,0
ɑ,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0
ɪ,0,0,0,0,0,0,0
l,0,0,0,1,0,1,0
i,0,0,0,0,0,0,0
n,0,1,0,0,0,1,0
ɖ,0,0,0,0,0,0,0
b,1,0,0,0,1,0,0
ɧ,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0
k,1,0,0,0,0,0,1
e,0,0,0,0,0,0,0
ʈ,0,0,0,0,0,0,0
s,0,0,1,0,0,1,0
j,0,0,1,0,0,0,1
ɭ,0,0,0,0,0,0,0
ʪ,0,0,0,0,0,0,0
m,0,1,0,0,1,0,0
